DataType,CLIMATOLOGY,DJF,MAM,JJA,SON
Mean,1991-2020,28.07,22.56,15.63,22.96
Mean,1961-1990,27.44,21.84,14.96,22.32
Mean,1931-1960,27.15,21.53,14.69,21.98
Mean,1901-1930,27.16,21.48,14.7,22.11
Min,1991-2020,21.06,15.84,8.37,15.41
Min,1961-1990,20.55,15.24,8.09,14.88
Min,1931-1960,20.09,14.69,7.73,14.35
Min,1901-1930,20.04,14.54,7.67,14.44
Max,1991-2020,35.62,29.33,22.53,30.95
Max,1961-1990,34.38,28.49,21.89,29.82
Max,1931-1960,34.27,28.41,21.70,29.65
Max,1901-1930,34.33,28.47,21.78,29.83
